City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp (C)
194,wuxi,120.2886,31.5689,287.62,38,3,3.28,CN,1707636272,14.470000000000027
195,shasta lake,-122.3708,40.6804,281.93,74,51,1.86,US,1707636272,8.78000000000003
196,new norfolk,147.0587,-42.7826,294.87,45,100,3.16,AU,1707636272,21.720000000000027
197,severo-yeniseyskiy,93.0408,60.3725,259.76,85,100,4.79,RU,1707636273,-13.389999999999986
198,mrakovo,56.6244,52.7161,253.86,97,77,1.38,RU,1707636273,-19.289999999999964
199,keflavik,-22.5624,64.0049,274.1,74,75,8.75,IS,1707635682,0.9500000000000455
200,yeppoon,150.7333,-23.1333,303.03,68,7,8.2,AU,1707636274,29.879999999999995
201,iqaluit,-68.5145,63.7506,249.09,69,75,1.03,CA,1707636274,-24.059999999999974
202,dapa,126.0531,9.7594,300.76,65,11,6.3,PH,1707636274,27.610000000000014
203,casablanca,-7.6192,33.5928,286.34,93,5,2.06,MA,1707636275,13.189999999999998
204,richards bay,32.0377,-28.783,296.36,68,98,2.8,ZA,1707636275,23.210000000000036
205,vilyuchinsk,158.4028,52.9306,262.3,77,19,3.88,RU,1707636275,-10.849999999999966
206,lucapa,20.7447,-8.4192,292.96,97,100,0.91,AO,1707636276,19.810000000000002
207,xilin hot,116.0333,43.9667,268.46,79,2,4.95,CN,1707636276,-4.689999999999998
208,codrington,141.9667,-38.2667,294.21,60,0,5.44,AU,1707636276,21.060000000000002
209,gadzhiyevo,33.3362,69.2551,263.48,75,100,5.46,RU,1707635749,-9.669999999999959
210,sandy,-111.8606,40.572,271.86,78,0,2.68,US,1707636277,-1.2899999999999636
211,quelimane,36.8883,-17.8786,303.12,74,75,2.06,MZ,1707636277,29.970000000000027
212,san luis de la loma,-100.8939,17.2706,295.53,84,0,2.47,MX,1707636278,22.379999999999995
213,st. john's,-52.7093,47.5649,271.01,93,75,7.2,CA,1707636278,-2.1399999999999864
214,berezovyy,135.7,51.6667,260.98,77,100,0.77,RU,1707636278,-12.169999999999959
215,nushki,66.0215,29.5542,291.29,21,21,1.67,PK,1707636279,18.140000000000043
216,hithadhoo,73.0833,-0.6,301.14,74,100,4.32,MV,1707636279,27.99000000000001
217,tabalah,42.4,19.95,292.73,42,0,2.4,SA,1707636279,19.58000000000004
218,lakatoro,167.4164,-16.0999,301.09,75,20,5.14,VU,1707636280,27.939999999999998
219,port mathurin,63.4167,-19.6833,300.34,84,100,8.92,MU,1707635721,27.189999999999998
220,timimoun,0.231,29.2639,286.36,33,29,5.66,DZ,1707636280,13.210000000000036
221,monteagudo,-63.9833,-19.8167,293.66,98,100,0.59,BO,1707636281,20.510000000000048
222,padang,100.3543,-0.9492,307.18,64,46,2.17,ID,1707636281,34.03000000000003
223,arraial do cabo,-42.0278,-22.9661,296.14,90,11,4.17,BR,1707635716,22.99000000000001
224,undurkhaan,110.6556,47.3194,269.5,76,75,3.37,MN,1707636281,-3.6499999999999773
225,lupane,27.807,-18.9315,301.19,43,8,6.31,ZW,1707636282,28.04000000000002
226,horta,-28.6333,38.5333,290.38,91,40,9.39,PT,1707636282,17.230000000000018
227,cooma,149.1333,-36.2333,296.95,35,28,2.61,AU,1707636282,23.80000000000001
228,astrakhan,48.0408,46.3497,274.08,100,100,7.15,RU,1707636283,0.9300000000000068
229,kuybyshev,78.3218,55.4475,256.16,93,82,5.56,RU,1707636283,-16.989999999999952
230,mandali,45.5541,33.7499,291.68,41,11,5.35,IQ,1707636283,18.53000000000003
231,lebu,-73.65,-37.6167,287.49,88,100,6.64,CL,1707635750,14.340000000000032
232,crane,-102.3501,31.3974,283.36,62,100,7.28,US,1707635731,10.210000000000036
233,yellowknife,-114.3525,62.456,259.49,99,40,2.06,CA,1707636284,-13.659999999999968
234,talen,76.7167,23.5667,298.59,22,100,3.57,IN,1707636284,25.439999999999998
235,pueblo,-104.6091,38.2545,272.09,90,100,3.6,US,1707636131,-1.0600000000000023
236,rongelap,166.8941,11.1635,299.42,80,100,9.81,MH,1707636079,26.27000000000004
237,kavaratti,72.642,10.5669,301.35,72,98,4.61,IN,1707636285,28.200000000000045
238,urengoy,78.3667,65.9667,252.75,95,100,4.61,RU,1707635706,-20.399999999999977
239,bodo,14.405,67.28,267.17,70,40,8.75,NO,1707636286,-5.979999999999961
240,lompoc,-120.4579,34.6391,282.0,86,0,2.06,US,1707636014,8.850000000000023
241,thai binh,106.3333,20.45,295.14,40,11,3.15,VN,1707636287,21.99000000000001
242,al qubbah,22.2424,32.7616,287.93,37,100,18.16,LY,1707636287,14.78000000000003
243,semnan,53.3971,35.5729,284.06,43,100,1.32,IR,1707636287,10.910000000000025
244,jinchang,102.1739,38.4953,280.57,14,6,1.86,CN,1707636288,7.420000000000016
245,kununurra,128.7333,-15.7667,300.14,94,100,5.14,AU,1707635731,26.99000000000001
246,annaba,7.7667,36.9,282.13,87,40,4.12,DZ,1707636288,8.980000000000018
247,kourou,-52.6478,5.1552,300.18,80,5,4.64,GF,1707636288,27.03000000000003
248,mermoz boabab,-17.4758,14.7065,295.03,88,0,5.14,SN,1707636289,21.879999999999995
249,niafunke,-3.9906,15.9322,293.82,9,0,3.32,ML,1707636289,20.670000000000016
250,diebougou,-3.25,10.9667,295.65,12,0,1.47,BF,1707636289,22.5
251,dudinka,86.1778,69.4058,242.41,94,64,2.24,RU,1707635707,-30.73999999999998
252,alto araguaia,-53.2153,-17.3147,294.13,98,100,2.98,BR,1707636290,20.980000000000018
253,talnakh,88.3972,69.4865,246.72,83,72,1.78,RU,1707635723,-26.42999999999998
254,santyoku,129.1708,37.4406,277.39,55,7,5.82,KR,1707636291,4.240000000000009
255,suicheng,117.9331,33.8963,286.05,42,0,3.7,CN,1707636291,12.900000000000034
256,cabo san lucas,-109.9124,22.8909,291.35,65,0,1.79,MX,1707636002,18.200000000000045
257,flying fish cove,105.6791,-10.4217,301.97,74,100,2.57,CX,1707635748,28.82000000000005
258,buka,69.1986,40.8108,289.78,23,99,1.06,UZ,1707636292,16.629999999999995
259,enewetak,162.3373,11.3474,299.63,79,100,9.78,MH,1707636292,26.480000000000018
260,puerto baquerizo moreno,-89.6,-0.9,298.72,86,82,2.08,EC,1707635537,25.57000000000005
261,ecoporanga,-40.8306,-18.3733,293.83,97,86,1.03,BR,1707636293,20.680000000000007
262,port lincoln,135.8667,-34.7333,301.06,36,0,5.67,AU,1707635699,27.910000000000025
263,west springfield,-72.6204,42.107,281.1,83,0,3.6,US,1707636294,7.9500000000000455
264,bela vista,-56.5211,-22.1089,296.25,95,100,1.77,BR,1707636294,23.100000000000023
265,ingeniero guillermo n. juarez,-61.85,-23.9,298.27,85,100,3.24,AR,1707636294,25.120000000000005
266,homer,-151.5483,59.6425,275.08,85,100,2.68,US,1707636295,1.9300000000000068
267,askoy,5.226,60.4092,273.57,100,75,1.54,NO,1707636295,0.4200000000000159
268,kayangel,134.7173,8.0823,300.32,82,95,8.61,PW,1707636295,27.170000000000016
269,antri,78.2144,26.0567,293.66,25,0,2.42,IN,1707636296,20.510000000000048
270,kavieng,150.7967,-2.5744,301.74,78,100,4.11,PG,1707636296,28.590000000000032
271,sarmiento,-69.07,-45.5882,292.8,41,22,7.39,AR,1707636296,19.650000000000034
272,wamba,8.6,8.9333,299.88,22,5,0.79,NG,1707636297,26.730000000000018
273,saldanha,17.9442,-33.0117,299.18,61,5,3.9,ZA,1707636297,26.03000000000003
274,rio grande,-52.0986,-32.035,297.56,97,71,4.21,BR,1707635732,24.410000000000025
